4631;3;7,0;4,0
4640;7;4,0;2,5
742;3;2,5;4,0
1534;2;7,0;2,5
7284;6;7,5;2,5
4180;5;4,5;3,0
15145;10;7,5;2,5
4500;6;6,5;2,5
3900;6;7,0;2,5
1724;2;4,0;2,5
2772;4;8,0;3,0
904;1;3,0;2,5
1050;1;3,0;0,8
1555;4;7,0;4,0
8118;4;6,0;5,0
1874;2;6,0;4,0
1305;5;4,0;2,5
2349;9;7,0;5,0
7755;3;7,5;4,0
2100;1;6,5;3,0
15985;2;45,0;5,0
3932;4;5,7;2,5
3460;2;4,0;4,0
11500;7;6,0;2,5
9483;8;5,0;2,5
31774;19;8,0;2,5
2276;7;6,4;3,5
220;1;5,0;3,0
1311;2;6,5;3,0
11736;4;7,2;4,0
7922;7;6,0;3,0
544;3;4,5;2,5
5620;1;8,1;5,0
1712;6;7,8;4,0
37115;17;7,5;2,5
14029;24;7,5;2,5
1360;3;4,0;2,0
1154;4;7,5;2,5
862;2.5;0,0;3,0
3499;6;6,0;4,0
10108;4;7,5;2,5
9862;3;8,0;4,0
1290;3;3,5;5,0
5428;3;35,0;3,5
125;5;2,9;1,5
19512;6;5,0;2,5
2395;5;6,5;2,5
10220;4;7,0;4,0
5500;9;6,0;10,0
1729;3;7,2;5,0
2054;3;7,5;5,0
1210;3;5,1;3,5
2769.4;3;7,2;1,5
3600;3;7,2;4,0
2400;3;3,2;1,5
746;3;8,5;4,0
810;4;6,0;2,5
648;2;4,0;2,5
500;2;15,0;3,5
1100;2;5,5;3,5
1900;4;7,0;4,0
1900;3;6,0;3,0
3023.2;3;5,0;2,5
867;4;6,0;1,5
21500;6;7,2;2,5
3997;3;4,5;2,5
3657;2;12,0;4,0
1830;3;6,5;2,5
517;3;3,2;1,5
1643;3;3,9;3,0
2368;4;7,5;2,5
2404;3;6,5;2,5
1930;3;5,5;1,5
8748;7;6,0;2,5
1163;1;6,2;5,5
2575;4;7,5;4,0
4787;6;6,0;2,5
3851;1;20,5;0,9
307;2;4,0;1,5
340;2;6,5;2,5
