1179,8
881,9
149,6
424,5
1896,3
1529,8
4057,8
1007,2
1141,9
536,7
976,0
336,0
316,8
337,3
2493,9
524,9
278,8
1758,9
1490,2
408,6
3602,3
1549,5
930,4
2370,2
2166,3
10354,2
591,0
69,4
294,2
3346,6
2080,9
83,9
1726,0
703,5
10784,6
4310,1
530,8
651,8
186,8
818,9
3964,2
3164,2
498,4
914,3
36,1
6364,4
650,1
2670,9
2784,9
813,8
399,3
385,3
584,7
880,8
435,0
302,6
266,7
202,6
320,9
257,1
711,5
763,4
641,1
276,1
6564,9
472,2
747,3
1380,9
104,1
376,0
519,2
822,4
578,3
2480,7
246,9
493,9
1169,0
727,8
51,0
70,1
